Año;Mes;País;Precio_Cu_USD_lb_x10000;Variación IPC;USD_CLP;Oil_Brent_USD;Oil_Brent_Euro
2018;Enero;Chile;31.955;0,5;605,53;69,08;56,62
2018;Febrero;Chile;31.275;0;596,84;65,32;52,9
2018;Marzo;Chile;30.255;0,2;603,45;66,02;53,52
2018;Abril;Chile;30.697;0,3;600,55;72,11;58,74
2018;Mayo;Chile;30.650;0,3;626,12;76,98;65,17
2018;Junio;Chile;29.630;0,1;636,15;74,41;63,72
2018;Julio;Chile;28.315;0,4;652,41;74,25;63,54
2018;Agosto;Chile;26.666;0,2;656,25;72,53;62,8
2018;Septiembre;Chile;28.050;0,3;680,91;78,89;67,66
2018;Octubre;Chile;26.590;0,4;676,84;81,03;70,56
2018;Noviembre;Chile;27.827;0;677,61;64,75;56,96
2018;Diciembre;Chile;26.304;-0,1;681,99;57,36;50,39
2019;Enero;Chile;27.845;0,1;677,06;59,41;52,04
2019;Febrero;Chile;29.484;0;656,3;63,96;56,35
2019;Marzo;Chile;29.360;0,5;667,68;66,14;58,52
2019;Abril;Chile;29.035;0,3;667,4;71,23;63,38
2019;Mayo;Chile;26.400;0,6;692;71,32;63,76
2019;Junio;Chile;27.119;0;692,41;64,22;56,87
2019;Julio;Chile;26.660;0,2;686,06;63,92;56,98
2019;Agosto;Chile;25.478;0,2;713,7;59,04;53,06
2019;Septiembre;Chile;25.785;0;718,44;62,83;57,1
2019;Octubre;Chile;26.380;0,8;721,03;59,71;54,02
2019;Noviembre;Chile;26.484;0,1;776,53;63,21;57,2
2019;Diciembre;Chile;27.964;0,1;770,39;67,31;60,57
2020;Enero;Chile;25.170;0,6;772,65;63,65;57,34
2020;Febrero;Chile;25.412;0,4;796,38;55,66;51,04
2020;Marzo;Chile;22.280;0,3;839,38;32,01;28,93
2020;Abril;Chile;23.460;0;853,38;18,38;16,92
2020;Mayo;Chile;24.255;-0,1;821,81;29,38;26,95
2020;Junio;Chile;27.255;-0,1;793,72;40,27;35,78
2020;Julio;Chile;28.680;0,1;784,73;43,24;37,72
2020;Agosto;Chile;30.574;0,1;784,66;44,74;37,83
2020;Septiembre;Chile;30.325;0,6;773,4;40,91;34,69
2020;Octubre;Chile;30.475;0,7;788,27;40,19;34,13
2020;Noviembre;Chile;34.257;-0,1;762,88;42,69;36,06
2020;Diciembre;Chile;35.180;0,3;734,73;49,99;41,08
2021;Enero;Chile;35.560;0,7;723,56;54,77;45
2021;Febrero;Chile;40.929;0,2;722,63;62,28;51,48
2021;Marzo;Chile;39.955;0,4;726,37;65,41;54,97
2021;Abril;Chile;44.702;0,4;707,85;64,81;54,1
2021;Mayo;Chile;46.775;0,3;712,26;68,53;56,42
2021;Junio;Chile;42.905;0,1;726,54;73,16;60,23
2021;Julio;Chile;44.825;0,8;750,44;75,17;61,89
2021;Agosto;Chile;43.720;0,4;779,83;70,75;58,25
2018;Enero;Francia;;-0,1;;;
2018;Febrero;Francia;;0;;;
2018;Marzo;Francia;;1;;;
2018;Abril;Francia;;0,2;;;
2018;Mayo;Francia;;0,4;;;
2018;Junio;Francia;;0;;;
2018;Julio;Francia;;-0,1;;;
2018;Agosto;Francia;;0,5;;;
2018;Septiembre;Francia;;-0,2;;;
2018;Octubre;Francia;;0,1;;;
2018;Noviembre;Francia;;-0,2;;;
2018;Diciembre;Francia;;0;;;
2019;Enero;Francia;;-0,4;;;
2019;Febrero;Francia;;0;;;
2019;Marzo;Francia;;0,8;;;
2019;Abril;Francia;;0,3;;;
2019;Mayo;Francia;;0,1;;;
2019;Junio;Francia;;0,2;;;
2019;Julio;Francia;;-0,2;;;
2019;Agosto;Francia;;0,5;;;
2019;Septiembre;Francia;;-0,3;;;
2019;Octubre;Francia;;0;;;
2019;Noviembre;Francia;;0,1;;;
2019;Diciembre;Francia;;0,4;;;
2020;Enero;Francia;;-0,4;;;
2020;Febrero;Francia;;0;;;
2020;Marzo;Francia;;0,1;;;
2020;Abril;Francia;;0;;;
2020;Mayo;Francia;;0,1;;;
2020;Junio;Francia;;0,1;;;
2020;Julio;Francia;;0,4;;;
2020;Agosto;Francia;;-0,1;;;
2020;Septiembre;Francia;;-0,5;;;
2020;Octubre;Francia;;0;;;
2020;Noviembre;Francia;;0,2;;;
2020;Diciembre;Francia;;0,2;;;
2021;Enero;Francia;;0,2;;;
2021;Febrero;Francia;;0;;;
2021;Marzo;Francia;;0,6;;;
2021;Abril;Francia;;0,1;;;
2021;Mayo;Francia;;0,3;;;
2021;Junio;Francia;;0,1;;;
2021;Julio;Francia;;0,1;;;
2021;Agosto;Francia;;0,6;;;
2018;Enero;Perú;;0,13;;;
2018;Febrero;Perú;;0,25;;;
2018;Marzo;Perú;;0,49;;;
2018;Abril;Perú;;-0,14;;;
2018;Mayo;Perú;;0,02;;;
2018;Junio;Perú;;0,33;;;
2018;Julio;Perú;;0,38;;;
2018;Agosto;Perú;;0,13;;;
2018;Septiembre;Perú;;0,19;;;
2018;Octubre;Perú;;0,08;;;
2018;Noviembre;Perú;;0,12;;;
2018;Diciembre;Perú;;0,18;;;
2019;Enero;Perú;;0,07;;;
2019;Febrero;Perú;;0,13;;;
2019;Marzo;Perú;;0,73;;;
2019;Abril;Perú;;0,2;;;
2019;Mayo;Perú;;0,15;;;
2019;Junio;Perú;;-0,09;;;
2019;Julio;Perú;;0,2;;;
2019;Agosto;Perú;;0,06;;;
2019;Septiembre;Perú;;0,01;;;
2019;Octubre;Perú;;0,11;;;
2019;Noviembre;Perú;;0,11;;;
2019;Diciembre;Perú;;0,21;;;
2020;Enero;Perú;;0,05;;;
2020;Febrero;Perú;;0,14;;;
2020;Marzo;Perú;;0,65;;;
2020;Abril;Perú;;0,1;;;
2020;Mayo;Perú;;0,2;;;
2020;Junio;Perú;;-0,27;;;
2020;Julio;Perú;;0,46;;;
2020;Agosto;Perú;;-0,11;;;
2020;Septiembre;Perú;;0,14;;;
2020;Octubre;Perú;;0,02;;;
2020;Noviembre;Perú;;0,52;;;
2020;Diciembre;Perú;;0,05;;;
2021;Enero;Perú;;0,74;;;
2021;Febrero;Perú;;-0,13;;;
2021;Marzo;Perú;;0,84;;;
2021;Abril;Perú;;-0,1;;;
2021;Mayo;Perú;;0,27;;;
2021;Junio;Perú;;0,52;;;
2021;Julio;Perú;;1,01;;;
2021;Agosto;Perú;;0,98;;;
2018;Enero;Argentina;;3,1;;;
2018;Febrero;Argentina;;1,8;;;
2018;Marzo;Argentina;;2,4;;;
2018;Abril;Argentina;;2,3;;;
2018;Mayo;Argentina;;2,7;;;
2018;Junio;Argentina;;2,1;;;
2018;Julio;Argentina;;3,7;;;
2018;Agosto;Argentina;;3,1;;;
2018;Septiembre;Argentina;;3,9;;;
2018;Octubre;Argentina;;6,5;;;
2018;Noviembre;Argentina;;5,4;;;
2018;Diciembre;Argentina;;3,2;;;
2019;Enero;Argentina;;2,6;;;
2019;Febrero;Argentina;;2,9;;;
2019;Marzo;Argentina;;3,8;;;
2019;Abril;Argentina;;4,7;;;
2019;Mayo;Argentina;;3,4;;;
2019;Junio;Argentina;;3,1;;;
2019;Julio;Argentina;;2,7;;;
2019;Agosto;Argentina;;2,2;;;
2019;Septiembre;Argentina;;4;;;
2019;Octubre;Argentina;;5,9;;;
2019;Noviembre;Argentina;;3,3;;;
2019;Diciembre;Argentina;;4,3;;;
2020;Enero;Argentina;;3,7;;;
2020;Febrero;Argentina;;2,3;;;
2020;Marzo;Argentina;;2;;;
2020;Abril;Argentina;;3,3;;;
2020;Mayo;Argentina;;1,5;;;
2020;Junio;Argentina;;1,5;;;
2020;Julio;Argentina;;2,2;;;
2020;Agosto;Argentina;;1,9;;;
2020;Septiembre;Argentina;;2,7;;;
2020;Octubre;Argentina;;2,8;;;
2020;Noviembre;Argentina;;3,8;;;
2020;Diciembre;Argentina;;3,2;;;
2021;Enero;Argentina;;4;;;
2021;Febrero;Argentina;;4;;;
2021;Marzo;Argentina;;3,6;;;
2021;Abril;Argentina;;4,8;;;
2021;Mayo;Argentina;;4,1;;;
2021;Junio;Argentina;;3,3;;;
2021;Julio;Argentina;;3,2;;;
2021;Agosto;Argentina;;3;;;
