Retiro;Mes;Año;Monto Pagado
Primer Retiro;Agosto;2020;9298206,24
Primer Retiro;Septiembre;2020;3200213,98
Primer Retiro;Octubre;2020;593066,18
Primer Retiro;Noviembre;2020;527227,6
Primer Retiro;Diciembre;2020;416921
Primer Retiro;Enero;2021;241218,12
Primer Retiro;Febrero;2021;175659,36
Primer Retiro;Marzo;2021;112730,12
Primer Retiro;Abril;2021;166202,77
Primer Retiro;Mayo;2021;362890,58
Primer Retiro;Junio;2021;134477,05
Primer Retiro;Julio;2021;190813,57
Segundo Retiro;Diciembre;2020;8049103,08
Segundo Retiro;Enero;2021;2154785,12
Segundo Retiro;Febrero;2021;508048,96
Segundo Retiro;Marzo;2021;380448,8
Segundo Retiro;Abril;2021;300690,95
Segundo Retiro;Mayo;2021;481523,6
Segundo Retiro;Junio;2021;204633,69
Segundo Retiro;Julio;2021;147510,87
Segundo Retiro;Agosto;2021;124603,91
Tercer Retiro;Mayo;2021;8375840,81
Tercer Retiro;Junio;2021;871111,99
Tercer Retiro;Julio;2021;495606,52
Tercer Retiro;Agosto;2021;393350,34
